Rank,Player Name,Age,Country,Points,Change
1,Jannik Sinner,23,ITA,11330,
2,Alexander Zverev,27,GER,7945,
3,Carlos Alcaraz,21,ESP,6520,
4,Taylor Fritz,27,USA,4810,
5,Novak Djoković,37,SRB,3860,+2
6,Casper Ruud,26,NOR,3855,-1
7,Andrey Rublev,27,RUS,3440,+1
8,Stefanos Tsitsipas,26,GRE,3315,+1
9,Daniil Medvedev,29,RUS,3290,-3
10,Alex de Minaur,26,AUS,3245,
11,Tommy Paul,27,USA,2940,
12,Jack Draper,23,GBR,2810,+2
13,Ben Shelton,22,USA,2790,-1
14,Grigor Dimitrov,33,BUL,2655,+1
15,Holger Rune,21,DEN,2630,-2
16,Lorenzo Musetti,23,ITA,2610,
17,Frances Tiafoe,27,USA,2445,
18,Félix Auger-Aliassime,24,CAN,2415,
19,Ugo Humbert,26,FRA,2335,
20,Tomáš Macháč,24,CZE,2310,
21,Arthur Fils,20,FRA,2290,
22,Hubert Hurkacz,28,POL,2165,
23,Karen Khachanov,28,RUS,1960,
24,Sebastian Korda,24,USA,1860,+1
25,Alexei Popyrin,25,AUS,1760,+2
26,Jiří Lehečka,23,CZE,1745,-2
27,Francisco Cerúndolo,26,ARG,1735,-1
28,Denis Shapovalov,25,CAN,1676,
29,Giovanni Mpetshi Perricard,21,FRA,1613,+1
30,Matteo Berrettini,28,ITA,1540,-1
31,Alejandro Tabilo,27,CHI,1515,
32,Alex Michelsen,20,USA,1425,
33,Brandon Nakashima,23,USA,1410,
34,Matteo Arnaldi,24,ITA,1390,+1
35,Sebastián Báez,24,ARG,1385,-1
36,Jordan Thompson,30,AUS,1375,+2
37,Lorenzo Sonego,29,ITA,1356,
38,Alejandro Davidovich Fokina,25,ESP,1310,+1
39,Flavio Cobolli,22,ITA,1280,+1
40,Pedro Martínez,27,ESP,1280,+1
41,Tomás Martín Etcheverry,25,ARG,1275,+4
42,Tallon Griekspoor,28,NED,1250,+1
43,Alexandre Müller,28,FRA,1250,+1
44,Nuno Borges,28,POR,1240,-8
45,Gaël Monfils,38,FRA,1210,-3
46,Marcos Giron,31,USA,1170,+2
47,Nicolás Jarry,29,CHI,1165,
48,Jan Lennard Struff,34,GER,1160,-2
49,Miomir Kecmanović,25,SRB,1146,
50,Roberto Bautista Agut,36,ESP,1086,
51,Zizou Bergs,25,BEL,1065,+2
52,Zhizhen Zhang,28,CHN,1055,-1
53,Roberto Carballés Baena,31,ESP,1051,-1
54,David Goffin,34,BEL,1003,+2
55,Jakub Menšík,19,CZE,992,+2
56,Jaume Munar,27,ESP,989,+2
57,Juncheng Shang,20,CHN,975,-2
58,Fábián Marozsán,25,HUN,965,-4
59,Quentin Halys,28,FRA,961,
60,Luciano Darderi,23,ITA,930,
61,Benjamin Bonzi,28,FRA,914,+1
62,Mariano Navone,24,ARG,890,+1
63,Camilo Ugo Carabelli,25,ARG,870,-2
64,Learner Tien,19,USA,867,+4
65,Yoshihito Nishioka,29,JPN,866,
66,Francisco Comesaña,24,ARG,866,
67,Yunchaokete Bu,23,CHN,855,+4
68,Roman Safiullin,27,RUS,848,+1
69,Mattia Bellucci,23,ITA,838,+1
70,Hamad Medjedović,21,SRB,829,+2
71,Kei Nishikori,35,JPN,823,+5
72,Arthur Rinderknech,29,FRA,821,+1
73,Laslo Djere,29,SRB,821,+1
74,Aleksandar Vukic,28,AUS,814,-10
75,Christopher O'Connell,30,AUS,805,
76,Corentin Moutet,25,FRA,789,+3
77,Joao Fonseca,18,BRA,780,+3
78,Daniel Altmaier,26,GER,768,
79,Cameron Norrie,29,GBR,764,-2
80,Luca Nardi,21,ITA,762,-13
81,Damir Džumhur,32,BIH,762,+3
82,Jacob Fearnley,23,GBR,757,-1
83,Rinky Hijikata,24,AUS,749,
84,Botic van de Zandschulp,29,NED,740,+1
85,Gabriel Diallo,23,CAN,730,+3
86,Alexander Bublik,27,KAZ,705,-4
87,Hugo Gaston,24,FRA,686,+6
88,Adam Walton,25,AUS,666,+8
89,Márton Fucsovics,33,HUN,666,
90,Raphaël Collignon,23,BEL,652,+2
91,Jaime Faria,21,POR,649,-4
92,Thanasi Kokkinakis,28,AUS,648,-6
93,Francesco Passaro,24,ITA,646,-3
94,James Duckworth,33,AUS,638,+3
95,Aleksandar Kovačević,26,USA,633,-1
96,Thiago Seyboth Wild,24,BRA,617,-5
97,Fabio Fognini,37,ITA,602,-2
98,Alexander Shevchenko,24,KAZ,598,
99,Nishesh Basavareddy,19,USA,585,+2
100,Pavel Kotov,26,RUS,573,+2
101,Mackenzie McDonald,29,USA,572,+8
102,Hugo Dellien,31,BOL,566,+1
103,Christopher Eubanks,28,USA,563,+1
104,Jesper de Jong,24,NED,562,+2
105,Lucas Pouille,31,FRA,559,-6
106,Billy Harris,30,GBR,558,+1
107,Dušan Lajović,34,SRB,555,+1
108,Pablo Carreño Busta,33,ESP,554,+4
109,Thiago Monteiro,30,BRA,552,-4
110,Tristan Boyer,23,USA,531,+7
111,Yannick Hanfmann,33,GER,529,-1
112,Brandon Holt,26,USA,528,-1
113,Chun Hsin Tseng,23,TWN,526,-13
114,Reilly Opelka,27,USA,516,
115,Arthur Cazaux,22,FRA,508,-2
116,Taro Daniel,32,JPN,485,
117,Kamil Majchrzak,29,POL,482,+5
118,Vít Kopřiva,27,CZE,481,+1
119,Nicolas Moreno De Alboran,27,USA,468,-1
120,Borna Ćorić,28,CRO,467,
121,Alexander Ritschard,30,SUI,466,
122,Daniel Elahi Galán,28,COL,465,+1
123,Juan Manuel Cerúndolo,23,ARG,461,+6
124,Jozef Kovalík,32,SVK,460,+1
125,Federico Coria,32,ARG,458,+3
126,Max Purcell,26,AUS,456,-2
127,Tristan Schoolkate,24,AUS,450,+3
128,Thiago Agustín Tirante,23,ARG,449,+6
129,Jérôme Kym,22,SUI,449,+2
130,Sebastian Ofner,28,AUT,448,-3
131,Harold Mayot,23,FRA,445,+2
132,Otto Virtanen,23,FIN,440,-17
133,Ethan Quinn,20,USA,432,+4
134,Cristian Garín,28,CHI,431,+4
135,Román Andrés Burruchaga,23,ARG,430,+1
136,Federico Agustin Gomez,28,ARG,429,-1
137,Sumit Nagal,27,IND,428,-5
