Rank,Player Name,Age,Country,Points,Change
1,Jannik Sinner,23,ITA,10330,
2,Alexander Zverev,27,GER,7595,
3,Carlos Alcaraz,21,ESP,6720,
4,Taylor Fritz,27,USA,4940,
5,Novak Djoković,37,SRB,3910,
6,Casper Ruud,26,NOR,3805,
7,Jack Draper,23,GBR,3780,
8,Stefanos Tsitsipas,26,GRE,3410,+2
9,Andrey Rublev,27,RUS,3400,
10,Daniil Medvedev,29,RUS,3290,-2
11,Holger Rune,21,DEN,3270,+1
12,Alex de Minaur,26,AUS,3245,-1
13,Tommy Paul,27,USA,3070,
14,Ben Shelton,22,USA,2940,
15,Lorenzo Musetti,23,ITA,2600,+1
16,Frances Tiafoe,27,USA,2485,+1
17,Arthur Fils,20,FRA,2480,+1
18,Félix Auger-Aliassime,24,CAN,2415,+1
19,Ugo Humbert,26,FRA,2335,+1
20,Tomáš Macháč,24,CZE,2160,+1
21,Grigor Dimitrov,33,BUL,2145,-6
22,Hubert Hurkacz,28,POL,2105,
23,Karen Khachanov,28,RUS,1950,
24,Francisco Cerúndolo,26,ARG,1925,
25,Sebastian Korda,24,USA,1860,
26,Alexei Popyrin,25,AUS,1760,
27,Jiří Lehečka,23,CZE,1745,
28,Denis Shapovalov,25,CAN,1716,
29,Giovanni Mpetshi Perricard,21,FRA,1644,
30,Alejandro Tabilo,27,CHI,1575,+1
31,Matteo Berrettini,28,ITA,1565,-1
32,Brandon Nakashima,23,USA,1520,
33,Alex Michelsen,20,USA,1445,
34,Jordan Thompson,30,AUS,1415,+3
35,Sebastián Báez,24,ARG,1385,+1
36,Tallon Griekspoor,28,NED,1370,-2
37,Lorenzo Sonego,29,ITA,1361,+1
38,Matteo Arnaldi,24,ITA,1340,-3
39,Alejandro Davidovich Fokina,25,ESP,1305,
40,Alexandre Müller,28,FRA,1304,+1
41,Nuno Borges,28,POR,1265,+1
42,Tomás Martín Etcheverry,25,ARG,1260,+2
43,Flavio Cobolli,22,ITA,1260,
44,Marcos Giron,31,USA,1240,+1
45,Gaël Monfils,38,FRA,1230,+1
46,Pedro Martínez,27,ESP,1205,-6
47,Miomir Kecmanović,25,SRB,1166,+1
48,Jan Lennard Struff,34,GER,1120,+1
49,Jakub Menšík,19,CZE,1082,+5
50,Zizou Bergs,25,BEL,1070,+1
51,Roberto Carballés Baena,32,ESP,1051,+2
52,Roberto Bautista Agut,36,ESP,1049,-2
53,Zhizhen Zhang,28,CHN,1045,-1
54,David Goffin,34,BEL,1043,+1
55,Jaume Munar,27,ESP,1029,+1
56,Quentin Halys,28,FRA,1011,+1
