Rank,Player Name,Age,Country,Points,Change
1,Jannik Sinner,23,ITA,11330,
2,Alexander Zverev,27,GER,8135,
3,Carlos Alcaraz,21,ESP,7510,
4,Taylor Fritz,27,USA,4900,
5,Casper Ruud,26,NOR,4045,
6,Daniil Medvedev,29,RUS,3930,
7,Novak Djoković,37,SRB,3900,
8,Andrey Rublev,27,RUS,3480,+1
9,Alex de Minaur,26,AUS,3335,-1
10,Tommy Paul,27,USA,3330,
11,Stefanos Tsitsipas,26,GRE,3105,
12,Ben Shelton,22,USA,2880,+2
13,Holger Rune,21,DEN,2820,
14,Jack Draper,23,GBR,2810,-2
15,Grigor Dimitrov,33,BUL,2745,+1
16,Lorenzo Musetti,22,ITA,2650,+1
17,Frances Tiafoe,27,USA,2485,+1
18,Ugo Humbert,26,FRA,2375,-3
19,Arthur Fils,20,FRA,2330,
20,Félix Auger-Aliassime,24,CAN,2325,+1
21,Hubert Hurkacz,28,POL,2165,-1
22,Tomáš Macháč,24,CZE,2030,+3
23,Karen Khachanov,28,RUS,1960,+1
24,Jiří Lehečka,23,CZE,1935,-2
25,Sebastian Korda,24,USA,1900,-2
26,Alexei Popyrin,25,AUS,1750,+1
27,Francisco Cerúndolo,26,ARG,1725,-1
28,Denis Shapovalov,25,CAN,1696,+4
29,Matteo Berrettini,28,ITA,1620,+1
30,Giovanni Mpetshi Perricard,21,FRA,1616,-1
31,Alejandro Tabilo,27,CHI,1535,-3
32,Alex Michelsen,20,USA,1445,+2
33,Brandon Nakashima,23,USA,1430,+9
34,Matteo Arnaldi,24,ITA,1390,-1
35,Nuno Borges,28,POR,1385,+3
36,Lorenzo Sonego,29,ITA,1376,-1
37,Jordan Thompson,30,AUS,1375,
38,Sebastián Báez,24,ARG,1310,-7
39,Flavio Cobolli,22,ITA,1295,
40,Pedro Martínez,27,ESP,1295,-4
41,Gaël Monfils,38,FRA,1280,-1
42,Tallon Griekspoor,28,NED,1270,+5
43,Alexandre Müller,28,FRA,1270,-2
44,Tomás Martín Etcheverry,25,ARG,1265,-1
45,Jan Lennard Struff,34,GER,1200,+1
46,Alejandro Davidovich Fokina,25,ESP,1195,+2
47,Nicolás Jarry,29,CHI,1175,-2
48,Marcos Giron,31,USA,1150,+4
49,Miomir Kecmanović,25,SRB,1146,-5
50,Roberto Bautista Agut,36,ESP,1089,+3
51,Zhizhen Zhang,28,CHN,1075,-2
52,Roberto Carballés Baena,31,ESP,1071,-2
53,Zizou Bergs,25,BEL,1060,+3
54,Fábián Marozsán,25,HUN,1035,+1
55,Juncheng Shang,20,CHN,1025,+3
56,David Goffin,34,BEL,1006,+7
57,Jakub Menšík,19,CZE,992,-3
58,Jaume Munar,27,ESP,992,-1
59,Quentin Halys,28,FRA,976,+18
60,Luciano Darderi,23,ITA,945,-1
61,Benjamin Bonzi,28,FRA,910,+1
62,Mariano Navone,24,ARG,905,+2
63,Camilo Ugo Carabelli,25,ARG,885,+6
64,Aleksandar Vukic,28,AUS,868,+2
65,Yoshihito Nishioka,29,JPN,866,-5
66,Francisco Comesaña,24,ARG,866,+1
67,Luca Nardi,21,ITA,862,+12
68,Learner Tien,19,USA,857,+15
69,Roman Safiullin,27,RUS,848,+3
70,Mattia Bellucci,23,ITA,840,
71,Yunchaokete Bu,23,CHN,833,-3
72,Hamad Medjedović,21,SRB,829,-1
73,Arthur Rinderknech,29,FRA,824,-12
74,Christopher O'Connell,30,AUS,805,+1
75,Kei Nishikori,35,JPN,793,-2
76,Cameron Norrie,29,GBR,784,-2
77,Daniel Altmaier,26,GER,768,-1
78,Corentin Moutet,25,FRA,759,-13
79,Joao Fonseca,18,BRA,750,-1
80,Jacob Fearnley,23,GBR,747,+1
81,Alexander Bublik,27,KAZ,745,-30
82,Rinky Hijikata,24,AUS,732,
83,Damir Džumhur,32,BIH,712,+7
84,Botic van de Zandschulp,29,NED,710,-4
85,Thanasi Kokkinakis,28,AUS,703,-1
86,Jaime Faria,21,POR,699,+1
87,Gabriel Diallo,23,CAN,690,+2
88,Márton Fucsovics,33,HUN,666,
89,Francesco Passaro,24,ITA,658,+2
90,Thiago Seyboth Wild,24,BRA,657,-4
91,Hugo Gaston,24,FRA,636,+1
92,Aleksandar Kovačević,26,USA,630,-7
93,Fabio Fognini,37,ITA,629,
94,Adam Walton,25,AUS,629,+3
95,James Duckworth,33,AUS,628,-1
96,Raphaël Collignon,23,BEL,620,+2
97,Alexander Shevchenko,24,KAZ,618,-2
98,Laslo Djere,29,SRB,613,+5
99,Lucas Pouille,31,FRA,609,-3
100,Chun Hsin Tseng,23,TWN,605,-1
101,Nishesh Basavareddy,19,USA,587,+5
102,Pavel Kotov,26,RUS,573,+5
103,Hugo Dellien,31,BOL,572,-1
104,Christopher Eubanks,28,USA,567,
105,Thiago Monteiro,30,BRA,562,+3
106,Jesper de Jong,24,NED,562,-1
107,Dušan Lajović,34,SRB,555,-7
108,Yannick Hanfmann,33,GER,553,+1
109,Billy Harris,30,GBR,539,+1
110,Pablo Carreño Busta,33,ESP,524,+2
111,Arthur Cazaux,22,FRA,521,-10
112,Reilly Opelka,27,USA,516,+2
113,Otto Virtanen,23,FIN,515,-2
114,Mackenzie McDonald,29,USA,509,+3
115,Taro Daniel,32,JPN,508,+4
116,Tristan Boyer,23,USA,501,-3
117,Nicolas Moreno De Alboran,27,USA,501,+3
118,Vít Kopřiva,27,CZE,491,+3
119,Alexander Ritschard,30,SUI,480,+3
120,Daniel Elahi Galán,28,COL,468,+5
121,Kamil Majchrzak,29,POL,468,-3
122,Max Purcell,26,AUS,466,+4
123,Jozef Kovalík,32,SVK,466,+1
124,Adrian Mannarino,36,FRA,461,+3
125,Sebastian Ofner,28,AUT,458,-9
126,Federico Coria,32,ARG,458,+10
127,Juan Manuel Cerúndolo,23,ARG,451,-4
128,Tristan Schoolkate,24,AUS,450,+5
129,Jérôme Kym,22,SUI,449,
130,Sumit Nagal,27,IND,448,+1
131,Harold Mayot,23,FRA,448,+1
132,Thiago Agustín Tirante,23,ARG,443,-4
133,Federico Agustin Gomez,28,ARG,442,+2
134,Román Andrés Burruchaga,23,ARG,436,
135,Cristian Garín,28,CHI,427,+12
136,Facundo Díaz Acosta,24,ARG,423,-6
137,Borna Ćorić,28,CRO,422,+6
138,Mitchell Krueger,31,USA,422,
139,Ethan Quinn,20,USA,421,+3
140,Brandon Holt,26,USA,419,+4
141,Lloyd Harris,28,RSA,416,
142,Marin Čilić,36,CRO,413,+45
143,Martin Landaluce,19,ESP,411,-6
144,Dominik Koepfer,30,GER,408,-29
145,Lukáš Klein,26,SVK,400,+3
146,Richard Gasquet,38,FRA,398,
147,Marco Trungelliti,35,ARG,398,-7
148,Gustavo Heide,23,BRA,397,+12
149,Nikoloz Basilashvili,33,GEO,383,+1
150,Tomás Barrios Vera,27,CHI,382,-5
151,Kyrian Jacquet,23,FRA,376,+1
152,Alejandro Moro Cañas,24,ESP,375,-3
153,Alexander Blockx,19,BEL,374,
154,Luca Van Assche,20,FRA,371,
155,Elmer Møller,21,DEN,370,
156,Grégoire Barrère,31,FRA,367,-5
157,Yasutaka Uchiyama,32,JPN,365,-1
158,Ugo Blanchet,26,FRA,360,
159,Henrique Rocha,20,POR,360,
160,Shintaro Mochizuki,21,JPN,356,+7
161,Alexis Galarneau,25,CAN,356,+1
162,Dalibor Svrčina,22,CZE,351,-1
163,Stan Wawrinka,39,SUI,349,
164,Mikhail Kukushkin,37,KAZ,349,-25
165,Duje Ajduković,24,CRO,345,
166,Terence Atmane,23,FRA,342,-9
167,Juan Pablo Ficovich,28,ARG,337,+8
168,Hady Habib,26,LBN,336,
169,Liam Draxl,23,CAN,335,+7
170,Marc-Andrea Hüsler,28,SUI,334,+2
171,Valentin Royer,23,FRA,334,+12
172,Henri Squire,24,GER,332,+5
173,Carlos Taberner,27,ESP,332,+1
174,Calvin Hémery,30,FRA,331,-3
175,Rafael Nadal,38,ESP,330,-2
176,Constant Lestienne,32,FRA,330,-7
177,Li Tu,28,AUS,326,-7
178,Eliot Spizzirri,23,USA,325,+11
179,Daniel Evans,34,GBR,321,-1
180,Felipe Meligeni Alves,27,BRA,320,+14
181,Pierre Hugues Herbert,33,FRA,320,-17
182,James Trotter,25,JPN,317,-2
183,Timofey Skatov,24,KAZ,316,-1
184,Alex Bolt,32,AUS,313,+11
185,Jan Choinski,28,GBR,313,+11
186,Vilius Gaubas,20,LTU,311,-2
187,Alibek Kachmazov,22,RUS,308,+6
188,Zachary Svajda,22,USA,307,-3
189,Facundo Mena,32,ARG,307,-3
190,Hugo Grenier,28,FRA,306,+7
191,Radu Albot,35,MDA,305,-12
192,Coleman Wong,20,HKG,305,-26
193,Sho Shimabukuro,27,JPN,304,-3
194,Titouan Droguet,23,FRA,303,-3
195,Gijs Brouwer,28,NED,301,-3
196,Adolfo Daniel Vallejo,20,PAR,300,+2
197,James McCabe,21,AUS,298,+11
198,Yuta Shimizu,25,JPN,295,-17
199,Juan Pablo Varillas,29,PER,294,-11
200,Murkel Dellien,27,BOL,294,
201,August Holmgren,26,DEN,287,+1
202,Nicolás Mejía,25,COL,286,+7
203,Andrea Collarini,33,ARG,284,+2
204,Mark Lajal,21,EST,282,-1
205,Benjamin Hassan,30,GER,281,-1
206,Maximilian Marterer,29,GER,271,-7
207,Antoine Escoffier,33,FRA,268,+7
208,Aslan Karatsev,31,RUS,267,+2
209,Lukas Neumayer,22,AUT,267,+2
210,Jurij Rodionov,25,AUT,266,+9
211,Aziz Dougaz,27,TUN,265,+1
212,Seongchan Hong,27,KOR,265,+1
213,Gauthier Onclin,24,BEL,264,+2
214,Beibit Zhukayev,24,KAZ,262,+2
