Rank,Player Name,Age,Country,Points,Change
1,Jannik Sinner,23,ITA,11330,
2,Alexander Zverev,27,GER,7935,
3,Carlos Alcaraz,21,ESP,6510,
4,Taylor Fritz,27,USA,4800,
5,Novak Djoković,37,SRB,3850,2.0
6,Casper Ruud,26,NOR,3845,-1.0
7,Andrey Rublev,27,RUS,3430,1.0
8,Stefanos Tsitsipas,26,GRE,3305,1.0
9,Daniil Medvedev,29,RUS,3280,-3.0
10,Alex de Minaur,26,AUS,3235,
11,Tommy Paul,27,USA,2930,
12,Jack Draper,23,GBR,2800,2.0
13,Ben Shelton,22,USA,2780,-1.0
14,Grigor Dimitrov,33,BUL,2645,1.0
15,Holger Rune,21,DEN,2620,-2.0
16,Lorenzo Musetti,23,ITA,2600,
17,Frances Tiafoe,27,USA,2435,
18,Félix Auger-Aliassime,24,CAN,2405,
19,Ugo Humbert,26,FRA,2325,
20,Tomáš Macháč,24,CZE,2300,
21,Arthur Fils,20,FRA,2280,
22,Hubert Hurkacz,28,POL,2155,
23,Karen Khachanov,28,RUS,1950,
24,Sebastian Korda,24,USA,1850,1.0
25,Alexei Popyrin,25,AUS,1750,2.0
26,Jiří Lehečka,23,CZE,1735,-2.0
27,Francisco Cerúndolo,26,ARG,1725,-1.0
28,Denis Shapovalov,25,CAN,1666,
29,Giovanni Mpetshi Perricard,21,FRA,1616,1.0
30,Matteo Berrettini,28,ITA,1540,-1.0
31,Alejandro Tabilo,27,CHI,1505,
32,Alex Michelsen,20,USA,1415,
33,Brandon Nakashima,23,USA,1400,
34,Sebastián Báez,24,ARG,1375,
35,Jordan Thompson,30,AUS,1365,3.0
36,Matteo Arnaldi,24,ITA,1360,-1.0
37,Lorenzo Sonego,29,ITA,1346,
38,Alejandro Davidovich Fokina,25,ESP,1325,1.0
39,Flavio Cobolli,22,ITA,1295,1.0
40,Pedro Martínez,27,ESP,1295,1.0
41,Tomás Martín Etcheverry,25,ARG,1265,4.0
42,Alexandre Müller,28,FRA,1240,2.0
43,Tallon Griekspoor,28,NED,1220,
44,Nuno Borges,28,POR,1210,-8.0
45,Gaël Monfils,38,FRA,1180,-3.0
46,Nicolás Jarry,29,CHI,1165,1.0
47,Jan Lennard Struff,34,GER,1150,-1.0
48,Marcos Giron,31,USA,1140,
49,Miomir Kecmanović,25,SRB,1136,
50,Roberto Bautista Agut,36,ESP,1089,
51,Roberto Carballés Baena,31,ESP,1066,1.0
52,Zizou Bergs,25,BEL,1060,1.0
53,Zhizhen Zhang,28,CHN,1045,-2.0
54,Jaume Munar,27,ESP,992,4.0
55,Juncheng Shang,20,CHN,975,
56,David Goffin,34,BEL,973,
57,Jakub Menšík,19,CZE,962,
58,Quentin Halys,28,FRA,951,1.0
59,Luciano Darderi,23,ITA,945,1.0
60,Fábián Marozsán,25,HUN,935,-6.0
61,Benjamin Bonzi,28,FRA,910,1.0
62,Mariano Navone,24,ARG,905,1.0
63,Camilo Ugo Carabelli,25,ARG,870,-2.0
64,Yoshihito Nishioka,29,JPN,866,1.0
65,Francisco Comesaña,24,ARG,866,1.0
66,Learner Tien,19,USA,857,2.0
67,Mattia Bellucci,23,ITA,838,3.0
68,Yunchaokete Bu,23,CHN,833,3.0
69,Hamad Medjedović,21,SRB,829,3.0
70,Arthur Rinderknech,29,FRA,824,3.0
71,Laslo Djere,29,SRB,821,3.0
72,Roman Safiullin,27,RUS,818,-3.0
73,Aleksandar Vukic,28,AUS,814,-9.0
74,Kei Nishikori,35,JPN,793,2.0
75,Christopher O'Connell,30,AUS,785,
76,Daniel Altmaier,26,GER,768,2.0
77,Corentin Moutet,25,FRA,759,2.0
78,Luca Nardi,21,ITA,752,-11.0
79,Joao Fonseca,18,BRA,750,1.0
80,Jacob Fearnley,23,GBR,747,1.0
81,Cameron Norrie,29,GBR,742,-4.0
82,Rinky Hijikata,24,AUS,732,1.0
83,Damir Džumhur,32,BIH,712,1.0
84,Botic van de Zandschulp,29,NED,700,1.0
85,Alexander Bublik,27,KAZ,695,-3.0
86,Gabriel Diallo,23,CAN,690,2.0
87,Márton Fucsovics,33,HUN,666,2.0
88,Raphaël Collignon,23,BEL,652,4.0
89,Jaime Faria,21,POR,649,-2.0
90,Thanasi Kokkinakis,28,AUS,648,-4.0
91,Francesco Passaro,24,ITA,646,-1.0
92,Hugo Gaston,24,FRA,636,1.0
93,Aleksandar Kovačević,26,USA,630,1.0
94,Adam Walton,25,AUS,629,2.0
95,James Duckworth,33,AUS,628,2.0
96,Fabio Fognini,37,ITA,602,-1.0
97,Alexander Shevchenko,24,KAZ,588,1.0
98,Thiago Seyboth Wild,24,BRA,587,-7.0
99,Nishesh Basavareddy,19,USA,587,2.0
100,Hugo Dellien,31,BOL,566,3.0
101,Pavel Kotov,26,RUS,563,1.0
102,Christopher Eubanks,28,USA,563,2.0
103,Jesper de Jong,24,NED,562,3.0
104,Lucas Pouille,31,FRA,559,-5.0
105,Billy Harris,30,GBR,558,2.0
106,Mackenzie McDonald,29,USA,555,3.0
107,Thiago Monteiro,30,BRA,543,-2.0
108,Yannick Hanfmann,33,GER,529,2.0
109,Brandon Holt,26,USA,528,2.0
110,Chun Hsin Tseng,23,TWN,526,-10.0
111,Dušan Lajović,34,SRB,525,-3.0
112,Pablo Carreño Busta,33,ESP,524,
113,Reilly Opelka,27,USA,516,1.0
114,Arthur Cazaux,22,FRA,508,-1.0
115,Tristan Boyer,23,USA,501,2.0
116,Taro Daniel,32,JPN,485,
117,Vít Kopřiva,27,CZE,481,2.0
118,Nicolas Moreno De Alboran,27,USA,468,
119,Alexander Ritschard,30,SUI,466,2.0
120,Kamil Majchrzak,29,POL,462,2.0
121,Daniel Elahi Galán,28,COL,461,2.0
122,Jozef Kovalík,32,SVK,460,3.0
123,Federico Coria,32,ARG,458,5.0
124,Max Purcell,26,AUS,456,
125,Borna Ćorić,28,CRO,455,-5.0
126,Tristan Schoolkate,24,AUS,450,4.0
127,Jérôme Kym,22,SUI,449,4.0
128,Sebastian Ofner,28,AUT,448,-1.0
129,Harold Mayot,23,FRA,445,4.0
130,Juan Manuel Cerúndolo,23,ARG,445,-1.0
131,Thiago Agustín Tirante,23,ARG,443,3.0
132,Otto Virtanen,23,FIN,440,-17.0
133,Román Andrés Burruchaga,23,ARG,430,3.0
134,Federico Agustin Gomez,28,ARG,429,1.0
135,Sumit Nagal,27,IND,428,-3.0
136,Facundo Díaz Acosta,24,ARG,423,3.0
137,Cristian Garín,28,CHI,421,1.0
138,Mitchell Krueger,31,USA,416,2.0
139,Lloyd Harris,28,RSA,416,2.0
140,Marin Čilić,36,CRO,413,2.0
141,Adrian Mannarino,36,FRA,411,-15.0
142,Martin Landaluce,19,ESP,411,1.0
143,Eliot Spizzirri,23,USA,411,1.0
144,Ethan Quinn,20,USA,408,-7.0
145,Dominik Koepfer,30,GER,398,
146,Richard Gasquet,38,FRA,398,2.0
147,Valentin Royer,23,FRA,387,4.0
148,Nikoloz Basilashvili,33,GEO,383,4.0
149,Tomás Barrios Vera,27,CHI,382,4.0
150,Kyrian Jacquet,23,FRA,376,4.0
151,Gustavo Heide,23,BRA,375,-1.0
152,Alejandro Moro Cañas,24,ESP,375,3.0
153,Shintaro Mochizuki,21,JPN,374,-7.0
154,Elmer Møller,21,DEN,370,4.0
155,Grégoire Barrère,31,FRA,367,4.0
156,Ugo Blanchet,26,FRA,360,5.0
157,Yasutaka Uchiyama,32,JPN,359,3.0
158,Henrique Rocha,20,POR,358,4.0
159,Alexis Galarneau,26,CAN,356,4.0
160,Alexander Blockx,19,BEL,354,-4.0
161,Marco Trungelliti,35,ARG,354,-12.0
162,Dalibor Svrčina,22,CZE,351,2.0
163,Lukáš Klein,26,SVK,350,-16.0
164,Mikhail Kukushkin,37,KAZ,345,2.0
165,Duje Ajduković,24,CRO,345,2.0
166,Stan Wawrinka,39,SUI,339,-1.0
167,Carlos Taberner,27,ESP,332,7.0
168,Marc-Andrea Hüsler,28,SUI,330,4.0
169,Calvin Hémery,30,FRA,323,6.0
170,Felipe Meligeni Alves,27,BRA,320,9.0
171,Hady Habib,26,LBN,320,-1.0
172,Juan Pablo Ficovich,28,ARG,318,-3.0
173,Terence Atmane,23,FRA,317,-5.0
174,Luca Van Assche,20,FRA,317,-17.0
175,James Trotter,25,JPN,317,6.0
176,Timofey Skatov,24,KAZ,316,6.0
177,Daniel Evans,34,GBR,311,1.0
178,Liam Draxl,23,CAN,309,-7.0
179,Pierre Hugues Herbert,33,FRA,308,1.0
180,Alibek Kachmazov,22,RUS,308,6.0
181,Li Tu,28,AUS,307,-4.0
182,Jan Choinski,28,GBR,307,2.0
183,Facundo Mena,32,ARG,306,5.0
184,Coleman Wong,20,HKG,305,7.0
185,Sho Shimabukuro,27,JPN,304,7.0
186,Adolfo Daniel Vallejo,20,PAR,300,9.0
187,James McCabe,21,AUS,298,9.0
188,Alex Bolt,32,AUS,297,-5.0
189,Vilius Gaubas,20,LTU,295,-4.0
190,Radu Albot,35,MDA,293,
191,Gijs Brouwer,28,NED,289,3.0
192,August Holmgren,26,DEN,287,8.0
193,Zachary Svajda,22,USA,284,-6.0
194,Hugo Grenier,28,FRA,283,-5.0
195,Nicolás Mejía,25,COL,283,6.0
196,Mark Lajal,21,EST,282,7.0
197,Andrea Collarini,33,ARG,282,5.0
198,Constant Lestienne,32,FRA,280,-22.0
199,Yuta Shimizu,25,JPN,279,-2.0
200,Benjamin Hassan,30,GER,277,4.0
201,Henri Squire,24,GER,274,-28.0
202,Maximilian Marterer,29,GER,271,3.0
203,Aslan Karatsev,31,RUS,267,4.0
204,Lukas Neumayer,22,AUT,267,4.0
205,Aziz Dougaz,27,TUN,265,5.0
206,Antoine Escoffier,33,FRA,265,
207,Gauthier Onclin,24,BEL,264,5.0
208,Beibit Zhukayev,24,KAZ,262,5.0
209,Paul Jubb,25,GBR,260,6.0
210,Titouan Droguet,23,FRA,259,-17.0
211,Bernard Tomic,32,AUS,258,5.0
212,Federico Arnaboldi,24,ITA,257,2.0
213,Matteo Gigante,23,ITA,256,4.0
214,Khumoyun Sultanov,26,UZB,254,4.0
215,Murkel Dellien,27,BOL,254,-16.0
216,Murphy Cassone,22,USA,252,3.0
217,Maks Kaśnikowski,21,POL,250,6.0
218,Albert Ramos Viñolas,37,ESP,249,6.0
219,Arthur Bouquier,24,FRA,247,6.0
220,Jurij Rodionov,25,AUT,246,-11.0
221,Yu-hsiou Hsu,25,TWN,245,5.0
222,Rio Noguchi,26,JPN,245,6.0
223,Ignacio Buse,20,PER,241,4.0
224,Emil Ruusuvuori,25,FIN,240,-3.0
225,Daniel Rincon,22,ESP,240,5.0
226,Rodrigo Pacheco Mendez,19,MEX,240,5.0
227,Edas Butvilas,20,LTU,237,7.0
228,Adrian Andreev,23,BUL,236,7.0
229,Seongchan Hong,27,KOR,235,-18.0
230,Gabriel Debru,19,FRA,235,6.0
231,Tung Lin Wu,26,TWN,234,6.0
232,Omar Jasika,27,AUS,234,1.0
233,Andrea Vavassori,29,ITA,229,-1.0
234,Enzo Couacaud,30,FRA,229,8.0
235,Max Hans Rehberg,21,GER,229,8.0
