Rank,Player Name,Age,Country,Points,Change
135,Román Andrés Burruchaga,23,ARG,430,1.0
136,Federico Agustin Gomez,28,ARG,429,-1.0
137,Sumit Nagal,27,IND,428,-5.0
138,Facundo Díaz Acosta,24,ARG,423,1.0
139,Eliot Spizzirri,23,USA,421,5.0
140,Mitchell Krueger,31,USA,416,
141,Lloyd Harris,28,RSA,416,
142,Marin Čilić,36,CRO,413,
143,Adrian Mannarino,36,FRA,411,-17.0
144,Martin Landaluce,19,ESP,411,-1.0
145,Nikoloz Basilashvili,33,GEO,410,7.0
146,Dominik Koepfer,30,GER,398,-1.0
147,Richard Gasquet,38,FRA,398,1.0
148,Valentin Royer,23,FRA,389,3.0
149,Tomás Barrios Vera,27,CHI,382,4.0
150,Kyrian Jacquet,23,FRA,376,4.0
151,Gustavo Heide,23,BRA,375,-1.0
152,Alejandro Moro Cañas,24,ESP,375,3.0
153,Shintaro Mochizuki,21,JPN,374,-7.0
154,Elmer Møller,21,DEN,370,4.0
155,Yasutaka Uchiyama,32,JPN,369,5.0
156,Grégoire Barrère,31,FRA,367,3.0
157,Ugo Blanchet,26,FRA,360,4.0
158,Alexis Galarneau,26,CAN,359,5.0
159,Henrique Rocha,20,POR,358,3.0
160,Alexander Blockx,19,BEL,354,-4.0
161,Marco Trungelliti,35,ARG,354,-12.0
162,Dalibor Svrčina,22,CZE,351,2.0
163,Lukáš Klein,26,SVK,350,-16.0
164,Mikhail Kukushkin,37,KAZ,347,2.0
165,Duje Ajduković,24,CRO,345,2.0
166,Stan Wawrinka,39,SUI,339,-1.0
167,Calvin Hémery,30,FRA,337,8.0
168,Carlos Taberner,27,ESP,332,6.0
169,Li Tu,28,AUS,331,8.0
170,Marc-Andrea Hüsler,28,SUI,330,2.0
171,Luca Van Assche,20,FRA,323,-14.0
172,Felipe Meligeni Alves,27,BRA,320,7.0
173,Hady Habib,26,LBN,320,-3.0
174,Timofey Skatov,24,KAZ,320,8.0
175,Liam Draxl,23,CAN,318,-4.0
176,Juan Pablo Ficovich,28,ARG,318,-7.0
177,Terence Atmane,23,FRA,317,-9.0
178,James Trotter,25,JPN,317,3.0
179,Alibek Kachmazov,22,RUS,314,7.0
180,Jan Choinski,28,GBR,313,4.0
181,Daniel Evans,34,GBR,311,-3.0
182,Pierre Hugues Herbert,33,FRA,308,-2.0
183,Facundo Mena,32,ARG,306,5.0
184,Adolfo Daniel Vallejo,20,PAR,306,11.0
185,Coleman Wong,20,HKG,305,6.0
186,Sho Shimabukuro,27,JPN,304,6.0
187,Radu Albot,35,MDA,303,3.0
188,James McCabe,21,AUS,298,8.0
189,Alex Bolt,32,AUS,297,-6.0
190,Vilius Gaubas,20,LTU,295,-5.0
191,Gijs Brouwer,28,NED,289,3.0
192,August Holmgren,26,DEN,287,8.0
193,Matteo Gigante,23,ITA,286,24.0
194,Zachary Svajda,22,USA,284,-7.0
195,Hugo Grenier,28,FRA,283,-6.0
