Rank,Player,Age,Nationality,Pts
707,Sander Jong,24,NED,38
708,James Story,23,GBR,38
709,Thanapet Chanta,25,THA,38
710,Albert Pedrico Kravtsov,19,ESP,38
711,Johan Alexander Rodriguez,21,COL,38
712,Wishaya Trongcharoenchaikul,29,THA,38
713,Marlon Vankan,24,GER,38
714,Nicolás Kicker,32,ARG,37
715,Gergely Madarász,30,HUN,37
716,Lautaro Agustin Falabella,27,ARG,37
717,Sergi Perez Contri,27,ESP,37
718,Alex Knaff,27,LUX,37
719,Carlos Gimeno Valero,23,ESP,36
720,JiSung Nam,31,KOR,36
721,Taha Baadi,23,CAN,36
722,Filippo Romano,19,ITA,36
723,Nathan Ponwith,26,USA,36
724,Giuseppe La Vela,24,ITA,36
725,Michael Zheng,21,USA,35
726,Hyeon Chung,28,KOR,35
727,Karlis Ozolins,22,LAT,35
728,Antoine Hoang,29,FRA,35
729,Mikhail Gorokhov,21,RUS,35
730,Samuele Pieri,22,ITA,35
731,Zura Tkemaladze,24,GEO,35
732,Dali Blanch,21,USA,35
733,Tennys Sandgren,33,USA,34
734,Rudy Quan,18,USA,34
735,Quinn Vandecasteele,22,USA,34
736,Adam Heinonen,22,SWE,34
737,Axel Garcian,22,FRA,34
738,Luca Castagnola,22,ITA,34
739,Simon Beaupain,25,BEL,34
740,Stefan Adrian Andreescu,23,ROU,34
741,Leo Vithoontien,25,JPN,34
742,Gavin Young,22,USA,33
743,Oliver Tarvet,21,GBR,33
744,Edoardo Lavagno,26,ITA,33
745,Siddharth Vishwakarma,30,IND,33
746,Filip Jeff Planinsek,23,SLO,33
747,Etienne Donnet,24,FRA,33
748,Guillaume Dalmasso,22,FRA,33
749,Bogdan Pavel,25,ROU,33
750,Ioan Alexandru Chirita,22,ROU,33
751,Filip Pieczonka,20,POL,33
752,William Grant,24,USA,33
753,Mikael Ymer,26,SWE,32
754,Daniel Milavsky,23,USA,32
755,Nicolas Zanellato,23,BRA,32
756,Fausto Tabacco,22,ITA,32
757,Tomohiro Masabayashi,26,JPN,32
758,Adhithya Ganesan,19,USA,32
759,Ivan Marrero Curbelo,26,ESP,32
760,Wilson Leite,33,BRA,32
761,Alexander Stater,25,USA,32
762,Lorenzo Carboni,18,ITA,32
763,Michele Ribecai,22,ITA,32
764,Khololwam Montsi,22,RSA,31
765,Martin Borisiouk,24,BLR,31
766,David Pichler,29,AUT,31
767,Alexander Donski,26,BUL,31
768,Alan Fernando Rubio Fierros,26,MEX,31
769,Darwin Blanch,17,USA,31
770,Francisco Rocha,25,POR,31
771,Juan Bautista Otegui,25,ARG,31
772,Alexandre Reco,25,FRA,31
773,Manas Dhamne,17,IND,31
774,Ezekiel Clark,26,USA,31
775,Kaylan Bigun,18,USA,30
776,Miljan Zekić,36,SRB,30
777,Nino Ehrenschneider,23,GER,30
778,James Watt,24,NZL,30
779,Vuk Radjenovic,19,SRB,30
780,Alexander Klintcharov,28,NZL,30
781,Denis Klok,26,RUS,30
782,Lorenzo Rottoli,23,ITA,30
783,Kane Bonsach Ganley,20,DEN,30
784,S D Prajwal Dev,28,IND,30
785,Joshua Sheehy,28,USA,30
786,Kai Wehnelt,29,GER,30
787,Martyn Pawelski,20,POL,30
788,Paulo Andre Saraiva Dos Santos,24,BRA,30
789,Louis Tessa,26,FRA,30
790,Niccolo Catini,27,ITA,30
791,Dan Martin,25,CAN,30
792,Henry Bernet,18,SUI,29
793,Blaž Rola,34,SLO,29
794,Ozan Baris,20,USA,29
795,Duck-hee Lee,26,KOR,29
796,Cengiz Aksu,26,TUR,29
797,Matt Hulme,26,AUS,29
798,Luca Castelnuovo,28,SUI,29
799,Miles Jones,24,USA,29
800,Tadeáš Paroulek,25,CZE,28
801,Guido Andreozzi,33,ARG,28
802,Conner Huertas del Pino,29,PER,28
803,Adrian Bodmer,29,SUI,28
804,Oliver Anderson,26,AUS,28
805,Peter Buldorini,20,IRL,28
806,Daniel Antonio Núñez,23,CHI,28
807,Oscar Otte,31,GER,27
808,Ulises Blanch,26,USA,27
809,Jakub Filip,19,CZE,27
810,Luca Wiedenmann,26,GER,27
811,Enzo Wallart,28,FRA,27
812,Ioannis Xilas,23,GRE,26
813,Peter Benjamin Privara,20,SVK,26
814,Shinji Hazawa,25,JPN,26
815,Philip Hjorth,25,DEN,26
816,Evgeny Philippov,23,RUS,26
817,Carlo Alberto Caniato,19,ITA,26
818,Ignacio Parisca Romera,19,VEN,26
819,Pierluigi Basile,18,ITA,25
820,Thomas Fancutt,29,AUS,25
821,Evan Furness,26,FRA,25
822,Yanis Ghazouani Durand,24,FRA,25
823,Benjamin Winter Lopez,26,ESP,25
824,Alexandre Aubriot,25,FRA,25
825,Dragos Nicolae Cazacu,21,ROU,25
826,Stefano D'Agostino,21,ITA,25
827,Matthew William Donald,20,CZE,25
828,Skander Mansouri,29,TUN,24
829,Juan Ignacio Lóndero,31,ARG,24
830,Vasek Pospisil,34,CAN,24
831,Manuel Mazza,25,ITA,24
831,Millen Hurrion,25,GBR,24
833,Tianhui Zhang,19,CHN,24
834,Pawit Sornlaksup,25,THA,24
835,Mees Rottgering,17,NED,24
836,Pavle Marinkov,19,AUS,24
837,Fabien Salle,25,FRA,24
838,Francesco Ferrari,27,ITA,24
839,Joaquin Aguilar Cardozo,19,URU,24
840,Toby Martin,32,GBR,24
841,Gabriele Maria Noce,29,ITA,24
842,Maxence Bertimon,25,FRA,24
843,Saveliy Ivanov,20,RUS,24
844,Lorenzo Bocchi,27,ITA,23
845,Alexander Bernard,21,USA,23
846,Jack Anthrop,21,USA,23
847,Luis Carlos Alvarez,20,MEX,23
848,Nikola Milojević,29,SRB,23
849,Renta Tokuda,26,JPN,23
850,Amaury Raynel,22,FRA,23
851,Mert Alkaya,24,TUR,23
852,Saša Marković,19,SRB,23
853,Sidharth Rawat,31,IND,23
854,Diogo Marques,25,POR,23
855,Illya Beloborodko,23,UKR,23
856,Preston Brown,23,USA,23
857,Vlad Andrei Dancu,25,ROU,23
858,Collin Altamirano,29,USA,23
859,Noah Perfetti,23,ITA,23
860,Grigoriy Lomakin,26,KAZ,23
861,Dhakshineswar Suresh,24,IND,22
862,Felix Balshaw,18,FRA,22
863,Maxim Mrva,17,CZE,22
864,Patrick Brady,20,GBR,22
865,Cyril Vandermeersch,25,FRA,22
866,Georgii Kravchenko,24,UKR,22
867,Yuta Kikuchi,25,JPN,22
868,Matthew Summers,26,GBR,22
869,Adil Kalyanpur,25,IND,22
870,Lasse Poertner,19,GER,22
871,Michael Bassem Sobhy,20,EGY,22
872,Mihai Razvan Marinescu,23,ROU,22
873,Jay Dylan Hara Friend,21,JPN,21
874,Maximilian Homberg,22,GER,21
875,Alexander Kotzen,24,USA,21
876,Kuan Yi Lee,28,TWN,21
877,Karim Mohamed Maamoun,33,EGY,21
878,Nikita Mashtakov,25,UKR,21
879,Sheng Tang,25,CHN,21
880,Sebastian Eriksson,19,SWE,21
881,Luca Fantini,24,ITA,21
882,Jasza Szajrych,22,POL,21
883,Ivan Nedelko,38,RUS,20
884,Yun seong Chung,26,KOR,20
885,Isaiah Strode,27,USA,20
886,Martin Van Der Meerschen,24,BEL,20
887,Naoya Honda,18,JPN,20
888,Alan Magadan,23,MEX,20
889,Alessandro Bellifemine,23,ITA,20
890,Jesse Flores,29,CRC,20
891,Pierre Delage,24,FRA,20
892,Mert Naci Türker,26,TUR,20
893,Daniel Pátý,25,CZE,20
894,Sebastian Prechtel,28,GER,20
895,Amit Vales,19,ISR,20
896,Andrew Fenty,24,USA,20
897,Kristjan Tamm,26,EST,20
898,Sergio Callejon Hernando,20,ESP,20
899,Taiyo Yamanaka,23,JPN,20
900,Seydina Andre,21,SEN,20
901,Pierre Yves Bailly,21,BEL,19
902,Rafael Jodar,18,ESP,19
903,Kaito Uesugi,29,JPN,19
904,Alec Deckers,24,NED,19
905,Cooper Williams,19,USA,19
906,Daniil Ostapenkov,21,BLR,19
907,Niels Lootsma,30,NED,19
908,Elgin Khoeblal,23,NED,19
909,Petr Brunclik,18,CZE,19
910,Ignacio Antonio Becerra Otarola,24,CHI,19
911,Matt Kuhar,28,USA,19
912,Iannis Miletich,19,ITA,19
913,Aliaksandr Liaonenka,25,BLR,19
914,Tomas Curras Abasolo,24,ESP,19
915,Josip Simundza,20,CRO,19
916,Tomasz Berkieta,18,POL,19
917,Kuzey Cekirge,24,TUR,19
918,Charlie Camus,18,FRA,19
919,Niklas Schell,26,GER,19
920,Benito Sánchez Martinez,22,GER,18
921,Jack Loutit,20,NZL,18
921,Patrick Schoen,19,SUI,18
923,Seita Watanabe,24,JPN,18
924,Viktor Jović,23,SRB,18
925,John Hallquist Lithen,23,SWE,18
925,Tyler Stice,24,USA,18
927,Victor Lilov,21,USA,18
928,Chase Ferguson,26,AUS,18
929,Manish Sureshkumar,25,IND,18
930,Mwendwa Mbithi,27,USA,18
931,Matyáš Černý,23,CZE,18
932,Juan Sebastian Osorio,27,COL,18
933,Gabriele Bosio,24,ITA,18
934,Aleksandr Lobanov,23,RUS,18
935,Niccolo Ciavarella,20,ITA,18
936,Pietro Marino,23,ITA,18
937,Corban Crowther,21,NZL,18
938,Michael Zhu,32,USA,18
939,Petar Jovanovic,21,MNE,17
940,Akira Santillan,27,AUS,17
941,Maciej Rajski,33,POL,17
942,Giorgio Tabacco,21,ITA,17
943,Sora Fukuda,27,JPN,17
944,Niccolo Baroni,21,ITA,17
945,Justin Boulais,23,CAN,17
946,Yuta Kawahashi,27,JPN,17
947,Gregor Ramskogler,26,AUT,17
947,Luca Giacomini,27,ITA,17
949,Benjamin Thomas George,22,CAN,17
950,Joshua Charlton,25,AUS,17
951,Nicolas Jadoun,22,FRA,17
952,Chirag Duhan,21,IND,17
953,Finn Bass,25,GBR,17
954,Daisuke Sumizawa,26,JPN,17
955,Fernando Cavallo,19,ARG,17
956,Abel Forger,19,NED,17
957,João Sousa,35,POR,16
958,Georgi Georgiev,18,BUL,16
959,Savriyan Danilov,24,RUS,16
960,Henrik Wiersholm,27,USA,16
961,Eric Hadigian,25,USA,16
962,Arda Azkara,21,TUR,16
962,Ryotero Matsumura,28,JPN,16
964,Chan yeong Oh,26,KOR,16
965,Andrin Casanova,20,SUI,16
966,Nikola Basic,23,CRO,16
967,Sidane Pontjodikromo,24,NED,16
968,Ryan Fishback,22,USA,16
969,Brian Bozemoj,21,NED,16
970,Aldin Šetkić,37,BIH,16
971,Patrick Kaukovalta,26,FIN,16
972,Thiago Cigarran,24,ARG,16
973,Ezequiel Monferrer,21,ARG,16
974,Jesse Delaney,26,AUS,16
975,Oscar Jose Gutierrez,31,BRA,16
976,Uisung Park,24,KOR,15
977,Lucas Marionneau,18,FRA,15
978,Aristarkh Safonov,21,RUS,15
979,Gabriel Décamps,25,BRA,15
980,Mariano Dedura Palomero,19,GER,15
981,Fermin Tenti,27,ARG,15
982,Derek Pham,20,AUS,15
983,Benjamin Pietri,28,FRA,15
984,Isaac Becroft,24,NZL,15
985,Robin Catry,22,FRA,15
986,Matías Franco Descotte,30,ARG,15
987,Stefan Latinovic,25,SRB,15
988,Aleksa Pisaric,19,SRB,15
989,Pengyu Lu,23,CHN,15
990,Andrea Fiorentini,24,ITA,15
991,Gian Marco Ortenzi,25,ITA,15
991,Zhenxiong Dong,26,CHN,15
993,Matteo De Vincentis,26,ITA,15
994,Luc Fomba,25,FRA,15
995,Jan Kupčič,23,SLO,15
996,Pablo Trochu,21,FRA,15
997,Yuvan Nandal,19,IND,15
998,Dylan Dietrich,20,SUI,14
999,Sean Cuenin,21,FRA,14
1000,Guy Orly Iradukunda,28,BDI,14
