Rank,Player Name,Age,Country,Points,Change
132,Sumit Nagal,27,IND,448,-1.0
133,Harold Mayot,23,FRA,448,-1.0
134,Thiago Agustín Tirante,23,ARG,443,-6.0
135,Federico Agustin Gomez,28,ARG,442,
136,Román Andrés Burruchaga,23,ARG,436,-2.0
137,Ethan Quinn,20,USA,432,5.0
138,Cristian Garín,28,CHI,427,9.0
139,Facundo Díaz Acosta,24,ARG,423,-9.0
140,Mitchell Krueger,31,USA,422,-2.0
141,Lloyd Harris,28,RSA,416,
142,Marin Čilić,36,CRO,413,45.0
143,Martin Landaluce,19,ESP,411,-6.0
144,Dominik Koepfer,30,GER,408,-29.0
145,Shintaro Mochizuki,21,JPN,404,22.0
146,Lukáš Klein,26,SVK,400,2.0
147,Richard Gasquet,38,FRA,398,-1.0
148,Marco Trungelliti,35,ARG,398,-8.0
149,Gustavo Heide,23,BRA,397,11.0
150,Valentin Royer,23,FRA,387,33.0
151,Nikoloz Basilashvili,33,GEO,383,-1.0
152,Tomás Barrios Vera,27,CHI,382,-7.0
153,Kyrian Jacquet,23,FRA,376,-1.0
154,Alejandro Moro Cañas,24,ESP,375,-5.0
155,Alexander Blockx,19,BEL,374,-2.0
156,Luca Van Assche,20,FRA,371,-2.0
157,Elmer Møller,21,DEN,370,-2.0
158,Grégoire Barrère,31,FRA,367,-7.0
159,Yasutaka Uchiyama,32,JPN,365,-3.0
160,Eliot Spizzirri,23,USA,361,29.0
161,Ugo Blanchet,26,FRA,360,-3.0
162,Henrique Rocha,20,POR,360,-3.0
163,Alexis Galarneau,26,CAN,356,-1.0
164,Dalibor Svrčina,22,CZE,351,-3.0
165,Stan Wawrinka,39,SUI,349,-2.0
166,Mikhail Kukushkin,37,KAZ,349,-27.0
167,Duje Ajduković,24,CRO,345,-2.0
168,Terence Atmane,23,FRA,342,-11.0
169,Juan Pablo Ficovich,28,ARG,337,6.0
170,Hady Habib,26,LBN,336,-2.0
171,Liam Draxl,23,CAN,335,5.0
172,Marc-Andrea Hüsler,28,SUI,334,
173,Henri Squire,24,GER,332,4.0
174,Carlos Taberner,27,ESP,332,
175,Calvin Hémery,30,FRA,331,-4.0
176,Rafael Nadal,38,ESP,330,-3.0
177,Constant Lestienne,32,FRA,330,-8.0
178,Li Tu,28,AUS,326,-8.0
179,Daniel Evans,34,GBR,321,-1.0
180,Felipe Meligeni Alves,27,BRA,320,14.0
181,Pierre Hugues Herbert,33,FRA,320,-17.0
182,James Trotter,25,JPN,317,-2.0
183,Timofey Skatov,24,KAZ,316,-1.0
184,Alex Bolt,32,AUS,313,11.0
185,Jan Choinski,28,GBR,313,11.0
186,Vilius Gaubas,20,LTU,311,-2.0
187,Alibek Kachmazov,22,RUS,308,6.0
188,Zachary Svajda,22,USA,307,-3.0
189,Facundo Mena,32,ARG,307,-3.0
190,Hugo Grenier,28,FRA,306,7.0
191,Radu Albot,35,MDA,305,-12.0
192,Coleman Wong,20,HKG,305,-26.0
193,Sho Shimabukuro,27,JPN,304,-3.0
194,Titouan Droguet,23,FRA,303,-3.0
195,Gijs Brouwer,28,NED,301,-3.0
196,Adolfo Daniel Vallejo,20,PAR,300,2.0
197,James McCabe,21,AUS,298,11.0
198,Yuta Shimizu,25,JPN,295,-17.0
199,Juan Pablo Varillas,29,PER,294,-11.0
200,Murkel Dellien,27,BOL,294,
201,August Holmgren,26,DEN,287,1.0
202,Nicolás Mejía,25,COL,286,7.0
203,Andrea Collarini,33,ARG,284,2.0
204,Mark Lajal,21,EST,282,-1.0
205,Benjamin Hassan,30,GER,281,-1.0
206,Maximilian Marterer,29,GER,271,-7.0
207,Antoine Escoffier,33,FRA,268,7.0
208,Aslan Karatsev,31,RUS,267,2.0
209,Lukas Neumayer,22,AUT,267,2.0
210,Jurij Rodionov,25,AUT,266,9.0
211,Aziz Dougaz,27,TUN,265,1.0
212,Seongchan Hong,27,KOR,265,1.0
213,Gauthier Onclin,24,BEL,264,2.0
214,Beibit Zhukayev,24,KAZ,262,2.0
215,Federico Arnaboldi,24,ITA,261,2.0
216,Paul Jubb,25,GBR,260,2.0
217,Bernard Tomic,32,AUS,258,3.0
218,Matteo Gigante,23,ITA,256,-17.0
219,Khumoyun Sultanov,26,UZB,254,2.0
220,Murphy Cassone,22,USA,252,28.0
221,Dmitry Popko,28,KAZ,251,-14.0
222,Emil Ruusuvuori,25,FIN,250,6.0
223,Filip Jianu,23,ROU,250,6.0
224,Maks Kaśnikowski,21,POL,249,
225,Albert Ramos Viñolas,37,ESP,249,-19.0
226,Arthur Bouquier,24,FRA,247,-3.0
227,Yu-hsiou Hsu,25,TWN,246,-2.0
228,Ignacio Buse,20,PER,245,-1.0
229,Rio Noguchi,26,JPN,245,4.0
230,Nick Hardt,24,DOM,240,
231,Daniel Rincon,22,ESP,240,
232,Rodrigo Pacheco Mendez,19,MEX,240,124.0
233,Andrea Vavassori,29,ITA,239,-1.0
234,Omar Jasika,27,AUS,237,-8.0
235,Edas Butvilas,20,LTU,237,2.0
236,Adrian Andreev,23,BUL,236,-2.0
237,Gabriel Debru,19,FRA,235,-2.0
238,Tung Lin Wu,26,TWN,234,-2.0
239,Emilio Nava,23,USA,232,
240,J.J. Wolf,26,USA,231,1.0
241,Clément Chidekh,23,FRA,231,1.0
242,Viktor Durasovic,27,NOR,231,-4.0
243,Enzo Couacaud,30,FRA,229,3.0
244,Max Hans Rehberg,21,GER,229,3.0
245,Marek Gengel,29,CZE,228,6.0
246,Gonzalo Oliveira,30,VEN,225,-3.0
247,Filip Misolic,23,AUT,224,-3.0
248,Matías Soto,25,CHI,223,-3.0
249,Javier Barranco Cosano,26,ESP,222,1.0
250,Stefano Napolitano,29,ITA,219,2.0
251,Oriol Roca Batalla,31,ESP,219,2.0
252,Álvaro Guillén Meza,22,ECU,218,24.0
253,Pol Martín Tiffon,25,ESP,217,1.0
254,Sascha Gueymard Wayenburg,21,FRA,217,-5.0
255,Andrés Andrade,26,ECU,216,-15.0
256,Andrea Pellegrino,27,ITA,216,-1.0
257,Denis Yevseyev,31,KAZ,216,-1.0
258,Elias Ymer,28,SWE,215,-1.0
259,Frederico Ferreira Silva,29,POR,215,3.0
260,Yan Bai,35,CHN,211,-1.0
261,Francesco Maestrelli,22,ITA,211,-1.0
262,Colton Smith,21,USA,209,-1.0
263,Valentin Vacherot,26,MON,208,-5.0
264,Mattéo Martineau,26,FRA,205,
265,Chris Rodesch,23,LUX,203,
266,Carlos Sánchez Jover,24,ESP,203,-3.0
267,Zsombor Piros,25,HUN,201,-1.0
268,Abdullah Shelbayh,21,JOR,201,-1.0
269,Robin Bertrand,21,FRA,201,-1.0
270,Lorenzo Giustino,33,ITA,200,-1.0
271,Gonzalo Bueno,20,PER,198,-1.0
272,Marat Sharipov,22,RUS,197,-1.0
273,Juan Bautista Torres,22,ARG,197,-1.0
274,Pedro Cachín,29,ARG,196,-1.0
275,Karue Sell,31,BRA,195,
276,Fajing Sun,28,CHN,192,3.0
277,Rudolf Molleker,24,GER,191,3.0
278,Stefano Travaglia,33,ITA,190,3.0
279,Ilia Simakin,21,RUS,189,6.0
280,Aidan Mayo,21,USA,188,2.0
281,Mateus Alves,24,BRA,187,2.0
282,Remy Bertola,26,SUI,187,6.0
283,Johannus Monday,23,GBR,186,1.0
284,Maxime Janvier,28,FRA,184,2.0
285,Dominic Stricker,22,SUI,183,4.0
286,Mathys Erhard,23,FRA,183,18.0
287,Arthur Géa,20,FRA,183,3.0
288,Jie Cui,27,CHN,182,3.0
289,Leandro Riedi,23,SUI,180,4.0
290,Manuel Guinard,29,FRA,180,-3.0
291,Juan Carlos Prado Angelo,19,BOL,180,3.0
292,Ričardas Berankis,34,LTU,179,8.0
293,Matej Dodig,19,CRO,179,-15.0
294,Mili Poljičak,20,CRO,179,3.0
295,Jay Clarke,26,GBR,179,-21.0
296,Blake Ellis,26,AUS,178,9.0
297,Martin Kližan,35,SVK,177,2.0
298,Geoffrey Blancaneaux,26,FRA,177,-76.0
299,Michael Mmoh,27,USA,176,-22.0
300,Nicolai Budkov Kjaer,18,NOR,176,-2.0
301,Ergi Kırkın,26,TUR,175,
302,Michael Geerts,30,BEL,174,
303,Facundo Bagnis,35,ARG,173,-11.0
304,Nicolás Álvarez Varona,23,ESP,173,18.0
305,Santiago Taverna,25,ARG,173,4.0
306,Charles Broom,26,GBR,172,
307,Oleksandr Ovcharenko,23,UKR,170,1.0
308,Joel Schwärzler,19,AUT,170,4.0
309,Max Houkes,24,NED,168,-6.0
310,Enrico Dalla Valle,26,ITA,168,-14.0
311,Jacopo Berrettini,26,ITA,167,7.0
312,Bernabé Zapata Miralles,28,ESP,166,-1.0
313,Mika Brunold,20,SUI,166,-3.0
314,Ivan Gakhov,28,RUS,166,
315,Gianluca Mager,30,ITA,164,1.0
316,Oleg Prihodko,27,UKR,164,1.0
317,Alexey Vatutin,32,RUS,164,2.0
318,Guy Den Ouden,22,NED,163,19.0
319,Daniel Dutra da Silva,36,BRA,163,1.0
320,Patrick Zahraj,25,GER,163,-7.0
321,Christoph Negritu,30,GER,162,
322,Benjamin Lock,31,ZIM,161,3.0
323,Samuel Vincent Ruggeri,22,ITA,161,-16.0
324,Maxime Cressy,27,USA,159,4.0
325,Gastão Elias,34,POR,159,43.0
326,Genaro Alberto Olivieri,26,ARG,158,4.0
327,Eliakim Coulibaly,22,CIV,157,11.0
328,Kimmer Coppejans,31,BEL,156,5.0
