Rank,Player Name,Age,Country,Points,Change
1,Jannik Sinner,23,ITA,11330,
2,Alexander Zverev,27,GER,8135,
3,Carlos Alcaraz,21,ESP,7510,
4,Taylor Fritz,27,USA,4900,
5,Casper Ruud,26,NOR,4045,
6,Novak Djoković,37,SRB,3900,+1
7,Daniil Medvedev,29,RUS,3830,-1
8,Andrey Rublev,27,RUS,3480,+1
9,Alex de Minaur,26,AUS,3335,-1
10,Tommy Paul,27,USA,3330,
11,Stefanos Tsitsipas,26,GRE,2955,
12,Ben Shelton,22,USA,2880,+2
13,Jack Draper,23,GBR,2810,-1
14,Holger Rune,21,DEN,2770,-1
15,Grigor Dimitrov,33,BUL,2745,+1
16,Lorenzo Musetti,22,ITA,2650,+1
17,Frances Tiafoe,27,USA,2445,+1
18,Arthur Fils,20,FRA,2330,+1
19,Ugo Humbert,26,FRA,2325,-4
20,Hubert Hurkacz,28,POL,2165,
21,Félix Auger-Aliassime,24,CAN,2155,
22,Karen Khachanov,28,RUS,1960,+2
23,Jiří Lehečka,23,CZE,1935,-1
24,Sebastian Korda,24,USA,1900,-1
25,Tomáš Macháč,24,CZE,1880,
26,Alexei Popyrin,25,AUS,1750,+1
27,Francisco Cerúndolo,26,ARG,1725,-1
28,Giovanni Mpetshi Perricard,21,FRA,1616,+1
29,Alejandro Tabilo,27,CHI,1535,-1
30,Matteo Berrettini,28,ITA,1530,
31,Denis Shapovalov,25,CAN,1496,+1
32,Alex Michelsen,20,USA,1420,+2
33,Matteo Arnaldi,24,ITA,1390,
34,Lorenzo Sonego,29,ITA,1376,+1
35,Jordan Thompson,30,AUS,1375,+2
36,Nuno Borges,28,POR,1345,+2
37,Flavio Cobolli,22,ITA,1295,+2
38,Pedro Martínez,27,ESP,1295,-2
39,Gaël Monfils,38,FRA,1280,+1
40,Sebastián Báez,24,ARG,1270,-9
41,Alexandre Müller,28,FRA,1270,
42,Brandon Nakashima,23,USA,1265,
43,Tomás Martín Etcheverry,25,ARG,1240,
44,Jan Lennard Struff,34,GER,1200,+2
45,Nicolás Jarry,29,CHI,1175,
46,Miomir Kecmanović,25,SRB,1146,-2
47,Marcos Giron,31,USA,1100,+5
48,Roberto Bautista Agut,36,ESP,1089,+5
49,Tallon Griekspoor,28,NED,1080,-2
50,Zhizhen Zhang,28,CHN,1075,-1
51,Roberto Carballés Baena,31,ESP,1071,-1
52,Zizou Bergs,25,BEL,1060,+4
53,Fábián Marozsán,25,HUN,1035,+2
54,Juncheng Shang,20,CHN,1025,+4
55,Alejandro Davidovich Fokina,25,ESP,1005,-7
56,Jakub Menšík,19,CZE,992,-2
57,Jaume Munar,27,ESP,992,
58,David Goffin,34,BEL,956,+5
59,Luciano Darderi,23,ITA,945,
60,Benjamin Bonzi,28,FRA,910,+2
61,Mariano Navone,23,ARG,890,+3
62,Aleksandar Vukic,28,AUS,868,+4
63,Yoshihito Nishioka,29,JPN,866,-3
64,Roman Safiullin,27,RUS,848,+8
65,Francisco Comesaña,24,ARG,847,+2
66,Camilo Ugo Carabelli,25,ARG,847,+3
67,Mattia Bellucci,23,ITA,840,+3
68,Yunchaokete Bu,23,CHN,833,
69,Hamad Medjedović,21,SRB,829,+2
70,Arthur Rinderknech,29,FRA,824,-9
71,Learner Tien,19,USA,807,+12
72,Kei Nishikori,35,JPN,793,+1
73,Cameron Norrie,29,GBR,784,+1
74,Quentin Halys,28,FRA,776,+3
75,Daniel Altmaier,26,GER,768,+1
76,Luca Nardi,21,ITA,762,+3
77,Corentin Moutet,25,FRA,759,-12
78,Christopher O'Connell,30,AUS,755,-3
79,Joao Fonseca,18,BRA,750,-1
80,Jacob Fearnley,23,GBR,747,+1
81,Alexander Bublik,27,KAZ,745,-30
82,Rinky Hijikata,24,AUS,732,
83,Botic van de Zandschulp,29,NED,710,-3
84,Thanasi Kokkinakis,28,AUS,703,
85,Gabriel Diallo,23,CAN,690,+4
86,Márton Fucsovics,33,HUN,666,+2
87,Damir Džumhur,32,BIH,662,+3
88,Francesco Passaro,24,ITA,658,+3
89,Thiago Seyboth Wild,24,BRA,657,-3
90,Jaime Faria,21,POR,649,-3
91,Hugo Gaston,24,FRA,636,+1
92,Aleksandar Kovačević,26,USA,630,-7
93,Fabio Fognini,37,ITA,629,
94,Adam Walton,25,AUS,629,+3
95,James Duckworth,33,AUS,628,-1
96,Alexander Shevchenko,24,KAZ,618,-1
97,Lucas Pouille,31,FRA,609,-1
98,Raphaël Collignon,23,BEL,608,
99,Chun Hsin Tseng,23,TWN,605,
100,Laslo Djere,29,SRB,588,+3
101,Nishesh Basavareddy,19,USA,587,+5
102,Pavel Kotov,26,RUS,573,+5
103,Hugo Dellien,31,BOL,572,-1
104,Christopher Eubanks,28,USA,567,
105,Jesper de Jong,24,NED,562,
106,Dušan Lajović,34,SRB,555,-6
107,Yannick Hanfmann,33,GER,553,+2
108,Thiago Monteiro,30,BRA,540,
109,Billy Harris,30,GBR,531,+1
110,Pablo Carreño Busta,33,ESP,524,+2
111,Reilly Opelka,27,USA,516,+3
112,Otto Virtanen,23,FIN,515,-1
113,Arthur Cazaux,22,FRA,507,-12
114,Mackenzie McDonald,29,USA,505,+3
115,Taro Daniel,32,JPN,501,+4
116,Tristan Boyer,23,USA,501,-3
117,Nicolas Moreno De Alboran,27,USA,501,+3
118,Vít Kopřiva,27,CZE,491,+3
119,Alexander Ritschard,30,SUI,480,+3
120,Daniel Elahi Galán,28,COL,468,+5
121,Max Purcell,26,AUS,466,+5
122,Jozef Kovalík,32,SVK,466,+2
123,Adrian Mannarino,36,FRA,461,+4
124,Kamil Majchrzak,29,POL,461,-6
125,Sebastian Ofner,28,AUT,458,-9
126,Juan Manuel Cerúndolo,23,ARG,451,-3
127,Jérôme Kym,22,SUI,449,+2
128,Sumit Nagal,27,IND,448,+3
129,Harold Mayot,23,FRA,448,+3
130,Thiago Agustín Tirante,23,ARG,443,-2
131,Federico Agustin Gomez,28,ARG,442,+4
132,Tristan Schoolkate,23,AUS,440,+1
133,Román Andrés Burruchaga,23,ARG,436,+1
134,Cristian Garín,28,CHI,427,+13
135,Facundo Díaz Acosta,24,ARG,423,-5
136,Mitchell Krueger,31,USA,422,+2
137,Federico Coria,32,ARG,421,-1
138,Lloyd Harris,28,RSA,416,+3
139,Ethan Quinn,20,USA,413,+3
140,Martin Landaluce,19,ESP,411,-3
141,Borna Ćorić,28,CRO,410,+2
142,Brandon Holt,26,USA,409,+2
143,Dominik Koepfer,30,GER,408,-28
144,Lukáš Klein,26,SVK,400,+4
145,Richard Gasquet,38,FRA,398,+1
146,Marco Trungelliti,35,ARG,398,-6
147,Gustavo Heide,22,BRA,397,+13
148,Nikoloz Basilashvili,33,GEO,383,+2
149,Tomás Barrios Vera,27,CHI,382,-4
150,Kyrian Jacquet,23,FRA,376,+2
151,Alejandro Moro Cañas,24,ESP,375,-2
152,Elmer Møller,21,DEN,370,+3
153,Alexander Blockx,19,BEL,368,
154,Grégoire Barrère,31,FRA,367,-3
155,Luca Van Assche,20,FRA,365,-1
156,Yasutaka Uchiyama,32,JPN,365,
157,Ugo Blanchet,26,FRA,360,+1
158,Henrique Rocha,20,POR,360,+1
159,Alexis Galarneau,25,CAN,356,+3
160,Dalibor Svrčina,22,CZE,351,+1
161,Stan Wawrinka,39,SUI,349,+2
162,Mikhail Kukushkin,37,KAZ,349,-23
163,Duje Ajduković,24,CRO,345,+2
164,Terence Atmane,23,FRA,342,-7
165,Shintaro Mochizuki,21,JPN,340,+2
166,Juan Pablo Ficovich,28,ARG,337,+9
167,Hady Habib,26,LBN,336,+1
168,Marc-Andrea Hüsler,28,SUI,334,+4
169,Carlos Taberner,27,ESP,332,+5
170,Calvin Hémery,30,FRA,331,+1
171,Rafael Nadal,38,ESP,330,+2
172,Constant Lestienne,32,FRA,330,-3
173,Liam Draxl,23,CAN,327,+3
174,Henri Squire,24,GER,326,+3
175,Li Tu,28,AUS,326,-5
176,Daniel Evans,34,GBR,321,+2
177,Felipe Meligeni Alves,27,BRA,320,+17
178,Pierre Hugues Herbert,33,FRA,320,-14
179,Valentin Royer,23,FRA,318,+4
180,James Trotter,25,JPN,317,
181,Timofey Skatov,24,KAZ,316,+1
182,Marin Čilić,36,CRO,313,+5
183,Eliot Spizzirri,23,USA,311,+6
184,Alibek Kachmazov,22,RUS,308,+9
185,Zachary Svajda,22,USA,307,
186,Jan Choinski,28,GBR,307,+10
187,Facundo Mena,32,ARG,307,-1
188,Hugo Grenier,28,FRA,306,+9
189,Alex Bolt,32,AUS,306,+6
190,Radu Albot,35,MDA,305,-11
191,Coleman Wong,20,HKG,305,-25
192,Sho Shimabukuro,27,JPN,304,-2
193,Titouan Droguet,23,FRA,303,-2
194,Gijs Brouwer,28,NED,301,-2
195,Adolfo Daniel Vallejo,20,PAR,300,+3
196,Vilius Gaubas,20,LTU,299,-12
197,Yuta Shimizu,25,JPN,295,-16
198,Juan Pablo Varillas,29,PER,294,-10
199,Murkel Dellien,27,BOL,294,+1
200,Andrea Collarini,33,ARG,284,+5
201,Mark Lajal,21,EST,282,+2
202,Benjamin Hassan,30,GER,281,+2
203,August Holmgren,26,DEN,279,-1
204,Nicolás Mejía,25,COL,278,+5
205,Maximilian Marterer,29,GER,271,-6
206,James McCabe,21,AUS,271,+2
207,Antoine Escoffier,32,FRA,268,+7
208,Aslan Karatsev,31,RUS,267,+2
209,Aziz Dougaz,27,TUN,265,+3
210,Seongchan Hong,27,KOR,265,+3
211,Gauthier Onclin,23,BEL,264,+4
212,Beibit Zhukayev,24,KAZ,262,+4
213,Lukas Neumayer,22,AUT,261,-2
214,Federico Arnaboldi,24,ITA,261,+3
215,Paul Jubb,25,GBR,260,+3
